subtipo,data,total_chamados
Perturbação do sossego,2020-01-21,24
Perturbação do sossego,2020-01-22,34
Perturbação do sossego,2020-01-23,21
Perturbação do sossego,2020-01-24,27
Perturbação do sossego,2020-01-25,60
Perturbação do sossego,2020-01-26,67
Perturbação do sossego,2020-01-27,26
Perturbação do sossego,2020-01-28,26
Perturbação do sossego,2020-01-29,27
Perturbação do sossego,2020-01-30,17
Perturbação do sossego,2020-01-31,37
Perturbação do sossego,2020-02-01,45
Perturbação do sossego,2020-02-02,38
Perturbação do sossego,2020-02-03,21
Perturbação do sossego,2020-02-04,13
Perturbação do sossego,2020-02-05,14
Perturbação do sossego,2020-02-06,32
Perturbação do sossego,2020-02-07,40
Perturbação do sossego,2020-02-08,54
Perturbação do sossego,2020-02-09,63
Perturbação do sossego,2020-02-10,16
Perturbação do sossego,2020-02-11,16
Perturbação do sossego,2020-02-12,31
Perturbação do sossego,2020-02-13,29
Perturbação do sossego,2020-02-14,34
Perturbação do sossego,2020-02-15,64
Perturbação do sossego,2020-02-16,65
Perturbação do sossego,2020-02-17,32
Perturbação do sossego,2020-02-18,24
Perturbação do sossego,2020-02-19,16
Perturbação do sossego,2020-02-20,40
Perturbação do sossego,2020-02-21,25
Perturbação do sossego,2020-02-22,49
Perturbação do sossego,2020-02-23,38
Perturbação do sossego,2020-02-24,29
Perturbação do sossego,2020-02-25,16
Perturbação do sossego,2020-02-26,21
Perturbação do sossego,2020-02-27,17
Perturbação do sossego,2020-02-28,37
Perturbação do sossego,2020-02-29,43
Perturbação do sossego,2020-03-01,37
Perturbação do sossego,2020-03-02,14
Perturbação do sossego,2020-03-03,18
Perturbação do sossego,2020-03-04,20
Perturbação do sossego,2020-03-05,20
Perturbação do sossego,2020-03-06,46
Perturbação do sossego,2020-03-07,47
Perturbação do sossego,2020-03-08,36
Perturbação do sossego,2020-03-09,26
Perturbação do sossego,2020-03-10,19
Perturbação do sossego,2020-03-11,22
Perturbação do sossego,2020-03-12,28
Perturbação do sossego,2020-03-13,24
Perturbação do sossego,2020-03-14,48
Perturbação do sossego,2020-03-15,61
Perturbação do sossego,2020-03-16,16
Perturbação do sossego,2020-03-17,9
Perturbação do sossego,2020-03-18,15
Perturbação do sossego,2020-03-19,25
Perturbação do sossego,2020-03-20,15
Perturbação do sossego,2020-03-21,22
Perturbação do sossego,2020-03-22,25
Perturbação do sossego,2020-03-23,14
Perturbação do sossego,2020-03-24,17
Perturbação do sossego,2020-03-25,20
Perturbação do sossego,2020-03-26,25
Perturbação do sossego,2020-03-27,33
Perturbação do sossego,2020-03-28,56
Perturbação do sossego,2020-03-29,43
Perturbação do sossego,2020-03-30,23
Perturbação do sossego,2020-03-31,29
Perturbação do sossego,2020-04-01,12
Perturbação do sossego,2020-04-02,25
Perturbação do sossego,2020-04-03,16
Perturbação do sossego,2020-04-04,41
Perturbação do sossego,2020-04-05,41
Perturbação do sossego,2020-04-06,22
Perturbação do sossego,2020-04-07,19
Perturbação do sossego,2020-04-08,23
Perturbação do sossego,2020-04-09,32
Perturbação do sossego,2020-04-10,38
Perturbação do sossego,2020-04-11,50
Perturbação do sossego,2020-04-12,43
Perturbação do sossego,2020-04-13,23
Perturbação do sossego,2020-04-14,23
Perturbação do sossego,2020-04-15,25
Perturbação do sossego,2020-04-16,19
Perturbação do sossego,2020-04-17,35
Perturbação do sossego,2020-04-18,51
Perturbação do sossego,2020-04-19,68
Perturbação do sossego,2020-04-20,37
Perturbação do sossego,2020-04-21,39
Perturbação do sossego,2020-04-22,34
Perturbação do sossego,2020-04-23,41
Perturbação do sossego,2020-04-24,34
Perturbação do sossego,2020-04-25,38
Perturbação do sossego,2020-04-26,47
Perturbação do sossego,2020-04-27,18
Perturbação do sossego,2020-04-28,25
Perturbação do sossego,2020-04-29,18
Perturbação do sossego,2020-04-30,29
Perturbação do sossego,2020-05-01,40
Perturbação do sossego,2020-05-02,28
Perturbação do sossego,2020-05-03,34
Perturbação do sossego,2020-05-04,31
Perturbação do sossego,2020-05-05,28
Perturbação do sossego,2020-05-06,29
Perturbação do sossego,2020-05-07,23
Perturbação do sossego,2020-05-08,44
Perturbação do sossego,2020-05-09,58
Perturbação do sossego,2020-05-10,67
Perturbação do sossego,2020-05-11,31
Perturbação do sossego,2020-05-12,38
Perturbação do sossego,2020-05-13,30
Perturbação do sossego,2020-05-14,28
Perturbação do sossego,2020-05-15,26
Perturbação do sossego,2020-05-16,52
Perturbação do sossego,2020-05-17,71
Perturbação do sossego,2020-05-18,34
Perturbação do sossego,2020-05-19,25
Perturbação do sossego,2020-05-20,39
Perturbação do sossego,2020-05-21,32
Perturbação do sossego,2020-05-22,40
Perturbação do sossego,2020-05-23,61
Perturbação do sossego,2020-05-24,48
Perturbação do sossego,2020-05-25,31
Perturbação do sossego,2020-05-26,26
Perturbação do sossego,2020-05-27,38
Perturbação do sossego,2020-05-28,32
Perturbação do sossego,2020-05-29,52
Perturbação do sossego,2020-05-30,71
Perturbação do sossego,2020-05-31,89
Perturbação do sossego,2020-06-01,26
Perturbação do sossego,2020-06-02,18
Perturbação do sossego,2020-06-03,33
Perturbação do sossego,2020-06-04,33
Perturbação do sossego,2020-06-05,26
Perturbação do sossego,2020-06-06,67
Perturbação do sossego,2020-06-07,57
Perturbação do sossego,2020-06-08,27
Perturbação do sossego,2020-06-09,28
Perturbação do sossego,2020-06-10,33
Perturbação do sossego,2020-06-11,81
Perturbação do sossego,2020-06-12,40
Perturbação do sossego,2020-06-13,52
Perturbação do sossego,2020-06-14,55
Perturbação do sossego,2020-06-15,39
Perturbação do sossego,2020-06-16,39
Perturbação do sossego,2020-06-17,40
Perturbação do sossego,2020-06-18,37
Perturbação do sossego,2020-06-19,52
Perturbação do sossego,2020-06-20,78
Perturbação do sossego,2020-06-21,55
Perturbação do sossego,2020-06-22,37
Perturbação do sossego,2020-06-23,42
Perturbação do sossego,2020-06-24,40
Perturbação do sossego,2020-06-25,37
Perturbação do sossego,2020-06-26,49
Perturbação do sossego,2020-06-27,67
Perturbação do sossego,2020-06-28,72
Perturbação do sossego,2020-06-29,38
Perturbação do sossego,2020-06-30,35
Perturbação do sossego,2020-07-01,36
Perturbação do sossego,2020-07-02,41
Perturbação do sossego,2020-07-03,38
Perturbação do sossego,2020-07-04,71
Perturbação do sossego,2020-07-05,114
Perturbação do sossego,2020-07-06,40
Perturbação do sossego,2020-07-07,31
Perturbação do sossego,2020-07-08,27
Perturbação do sossego,2020-07-09,44
Perturbação do sossego,2020-07-10,67
Perturbação do sossego,2020-07-11,88
Perturbação do sossego,2020-07-12,54
Perturbação do sossego,2020-07-13,26
Perturbação do sossego,2020-07-14,31
Perturbação do sossego,2020-07-15,34
Perturbação do sossego,2020-07-16,39
Perturbação do sossego,2020-07-17,64
Perturbação do sossego,2020-07-18,97
Perturbação do sossego,2020-07-19,111
Perturbação do sossego,2020-07-20,57
Perturbação do sossego,2020-07-21,49
Perturbação do sossego,2020-07-22,34
Perturbação do sossego,2020-07-23,47
Perturbação do sossego,2020-07-24,62
Perturbação do sossego,2020-07-25,84
Perturbação do sossego,2020-07-26,90
Perturbação do sossego,2020-07-27,58
Perturbação do sossego,2020-07-28,43
Perturbação do sossego,2020-07-29,28
Perturbação do sossego,2020-07-30,26
Perturbação do sossego,2020-07-31,56
Perturbação do sossego,2020-08-01,77
Perturbação do sossego,2020-08-02,81
Perturbação do sossego,2020-08-03,42
Perturbação do sossego,2020-08-04,35
Perturbação do sossego,2020-08-05,44
Perturbação do sossego,2020-08-06,46
Perturbação do sossego,2020-08-07,77
Perturbação do sossego,2020-08-08,83
Perturbação do sossego,2020-08-09,98
Perturbação do sossego,2020-08-10,54
Perturbação do sossego,2020-08-11,40
Perturbação do sossego,2020-08-12,54
Perturbação do sossego,2020-08-13,54
Perturbação do sossego,2020-08-14,52
Perturbação do sossego,2020-08-15,67
Perturbação do sossego,2020-08-16,109
Perturbação do sossego,2020-08-17,56
Perturbação do sossego,2020-08-18,32
Perturbação do sossego,2020-08-19,39
Perturbação do sossego,2020-08-20,35
Perturbação do sossego,2020-08-21,41
Perturbação do sossego,2020-08-22,51
Perturbação do sossego,2020-08-23,101
Perturbação do sossego,2020-08-24,48
Perturbação do sossego,2020-08-25,38
Perturbação do sossego,2020-08-26,40
Perturbação do sossego,2020-08-27,56
Perturbação do sossego,2020-08-28,60
Perturbação do sossego,2020-08-29,68
Perturbação do sossego,2020-08-30,60
Perturbação do sossego,2020-08-31,23
Perturbação do sossego,2020-09-01,34
Perturbação do sossego,2020-09-02,27
Perturbação do sossego,2020-09-03,36
Perturbação do sossego,2020-09-04,41
Perturbação do sossego,2020-09-05,57
Perturbação do sossego,2020-09-06,53
Perturbação do sossego,2020-09-07,45
Perturbação do sossego,2020-09-08,32
Perturbação do sossego,2020-09-09,27
Perturbação do sossego,2020-09-10,30
Perturbação do sossego,2020-09-11,38
Perturbação do sossego,2020-09-12,52
Perturbação do sossego,2020-09-13,35
Perturbação do sossego,2020-09-14,24
Perturbação do sossego,2020-09-15,35
Perturbação do sossego,2020-09-16,28
Perturbação do sossego,2020-09-17,32
Perturbação do sossego,2020-09-18,32
Perturbação do sossego,2020-09-19,46
Perturbação do sossego,2020-09-20,30
Perturbação do sossego,2020-09-21,29
Perturbação do sossego,2020-09-22,21
Perturbação do sossego,2020-09-23,33
Perturbação do sossego,2020-09-24,46
Perturbação do sossego,2020-09-25,45
Perturbação do sossego,2020-09-26,61
Perturbação do sossego,2020-09-27,50
Perturbação do sossego,2020-09-28,40
Perturbação do sossego,2020-09-29,26
Perturbação do sossego,2020-09-30,33
Perturbação do sossego,2020-10-01,35
Perturbação do sossego,2020-10-02,48
Perturbação do sossego,2020-10-03,40
Perturbação do sossego,2020-10-04,37
Perturbação do sossego,2020-10-05,35
Perturbação do sossego,2020-10-06,26
Perturbação do sossego,2020-10-07,23
Perturbação do sossego,2020-10-08,31
Perturbação do sossego,2020-10-09,38
Perturbação do sossego,2020-10-10,56
Perturbação do sossego,2020-10-11,61
Perturbação do sossego,2020-10-12,26
Perturbação do sossego,2020-10-13,35
Perturbação do sossego,2020-10-14,28
Perturbação do sossego,2020-10-15,52
Perturbação do sossego,2020-10-16,45
Perturbação do sossego,2020-10-17,92
Perturbação do sossego,2020-10-18,108
Perturbação do sossego,2020-10-19,41
Perturbação do sossego,2020-10-20,30
Perturbação do sossego,2020-10-21,34
Perturbação do sossego,2020-10-22,40
Perturbação do sossego,2020-10-23,47
Perturbação do sossego,2020-10-24,89
Perturbação do sossego,2020-10-25,65
Perturbação do sossego,2020-10-26,32
Perturbação do sossego,2020-10-27,18
Perturbação do sossego,2020-10-28,31
Perturbação do sossego,2020-10-29,20
Perturbação do sossego,2020-10-30,7
Perturbação do sossego,2020-10-31,12
Perturbação do sossego,2020-11-01,34
Perturbação do sossego,2020-11-02,25
Perturbação do sossego,2020-11-03,13
Perturbação do sossego,2020-11-04,10
Perturbação do sossego,2020-11-05,22
Perturbação do sossego,2020-11-06,61
Perturbação do sossego,2020-11-07,64
Perturbação do sossego,2020-11-08,78
Perturbação do sossego,2020-11-09,47
Perturbação do sossego,2020-11-10,21
Perturbação do sossego,2020-11-11,38
Perturbação do sossego,2020-11-12,38
Perturbação do sossego,2020-11-13,52
Perturbação do sossego,2020-11-14,69
Perturbação do sossego,2020-11-15,77
Perturbação do sossego,2020-11-16,40
Perturbação do sossego,2020-11-17,32
Perturbação do sossego,2020-11-18,30
Perturbação do sossego,2020-11-19,58
Perturbação do sossego,2020-11-20,66
Perturbação do sossego,2020-11-21,67
Perturbação do sossego,2020-11-22,63
