evento_id,evento,data_inicial,data_final,id_chamado
4,Carnaval,2023-02-18,2023-02-21,18331227
4,Carnaval,2023-02-18,2023-02-21,18331231
4,Carnaval,2023-02-18,2023-02-21,18331251
4,Carnaval,2023-02-18,2023-02-21,18331255
4,Carnaval,2023-02-18,2023-02-21,18331258
4,Carnaval,2023-02-18,2023-02-21,18331259
4,Carnaval,2023-02-18,2023-02-21,18331261
4,Carnaval,2023-02-18,2023-02-21,18331275
4,Carnaval,2023-02-18,2023-02-21,18331281
4,Carnaval,2023-02-18,2023-02-21,18331283
4,Carnaval,2023-02-18,2023-02-21,18331287
4,Carnaval,2023-02-18,2023-02-21,18331291
4,Carnaval,2023-02-18,2023-02-21,18331295
4,Carnaval,2023-02-18,2023-02-21,18331317
4,Carnaval,2023-02-18,2023-02-21,18331319
4,Carnaval,2023-02-18,2023-02-21,18331320
4,Carnaval,2023-02-18,2023-02-21,18331360
4,Carnaval,2023-02-18,2023-02-21,18331512
4,Carnaval,2023-02-18,2023-02-21,18331532
4,Carnaval,2023-02-18,2023-02-21,18331560
4,Carnaval,2023-02-18,2023-02-21,18331953
4,Carnaval,2023-02-18,2023-02-21,18332075
4,Carnaval,2023-02-18,2023-02-21,18332379
4,Carnaval,2023-02-18,2023-02-21,18332410
4,Carnaval,2023-02-18,2023-02-21,18332434
4,Carnaval,2023-02-18,2023-02-21,18332453
4,Carnaval,2023-02-18,2023-02-21,18332454
4,Carnaval,2023-02-18,2023-02-21,18332575
4,Carnaval,2023-02-18,2023-02-21,18332630
4,Carnaval,2023-02-18,2023-02-21,18332726
4,Carnaval,2023-02-18,2023-02-21,18332729
4,Carnaval,2023-02-18,2023-02-21,18332734
4,Carnaval,2023-02-18,2023-02-21,18332736
4,Carnaval,2023-02-18,2023-02-21,18332750
4,Carnaval,2023-02-18,2023-02-21,18332827
4,Carnaval,2023-02-18,2023-02-21,18332866
4,Carnaval,2023-02-18,2023-02-21,18332881
4,Carnaval,2023-02-18,2023-02-21,18332938
4,Carnaval,2023-02-18,2023-02-21,18332997
4,Carnaval,2023-02-18,2023-02-21,18333025
4,Carnaval,2023-02-18,2023-02-21,18333037
4,Carnaval,2023-02-18,2023-02-21,18333097
4,Carnaval,2023-02-18,2023-02-21,18333126
4,Carnaval,2023-02-18,2023-02-21,18333135
4,Carnaval,2023-02-18,2023-02-21,18333152
4,Carnaval,2023-02-18,2023-02-21,18333154
4,Carnaval,2023-02-18,2023-02-21,18333161
4,Carnaval,2023-02-18,2023-02-21,18333175
4,Carnaval,2023-02-18,2023-02-21,18333177
4,Carnaval,2023-02-18,2023-02-21,18333181
4,Carnaval,2023-02-18,2023-02-21,18333193
4,Carnaval,2023-02-18,2023-02-21,18333196
4,Carnaval,2023-02-18,2023-02-21,18333199
4,Carnaval,2023-02-18,2023-02-21,18333207
4,Carnaval,2023-02-18,2023-02-21,18333215
4,Carnaval,2023-02-18,2023-02-21,18333225
4,Carnaval,2023-02-18,2023-02-21,18333228
4,Carnaval,2023-02-18,2023-02-21,18333244
4,Carnaval,2023-02-18,2023-02-21,18333245
4,Carnaval,2023-02-18,2023-02-21,18333284
4,Carnaval,2023-02-18,2023-02-21,18333409
4,Carnaval,2023-02-18,2023-02-21,18333430
4,Carnaval,2023-02-18,2023-02-21,18333437
4,Carnaval,2023-02-18,2023-02-21,18333449
4,Carnaval,2023-02-18,2023-02-21,18333561
4,Carnaval,2023-02-18,2023-02-21,18333565
4,Carnaval,2023-02-18,2023-02-21,18333678
4,Carnaval,2023-02-18,2023-02-21,18333726
4,Carnaval,2023-02-18,2023-02-21,18333739
4,Carnaval,2023-02-18,2023-02-21,18333877
4,Carnaval,2023-02-18,2023-02-21,18333985
4,Carnaval,2023-02-18,2023-02-21,18334033
4,Carnaval,2023-02-18,2023-02-21,18334074
4,Carnaval,2023-02-18,2023-02-21,18334112
4,Carnaval,2023-02-18,2023-02-21,18334159
4,Carnaval,2023-02-18,2023-02-21,18334165
4,Carnaval,2023-02-18,2023-02-21,18334204
4,Carnaval,2023-02-18,2023-02-21,18334223
4,Carnaval,2023-02-18,2023-02-21,18334227
4,Carnaval,2023-02-18,2023-02-21,18334270
4,Carnaval,2023-02-18,2023-02-21,18334272
4,Carnaval,2023-02-18,2023-02-21,18334310
4,Carnaval,2023-02-18,2023-02-21,18334315
4,Carnaval,2023-02-18,2023-02-21,18334332
4,Carnaval,2023-02-18,2023-02-21,18334341
4,Carnaval,2023-02-18,2023-02-21,18334415
4,Carnaval,2023-02-18,2023-02-21,18334443
4,Carnaval,2023-02-18,2023-02-21,18334487
4,Carnaval,2023-02-18,2023-02-21,18334550
4,Carnaval,2023-02-18,2023-02-21,18334660
4,Carnaval,2023-02-18,2023-02-21,18334673
4,Carnaval,2023-02-18,2023-02-21,18334681
4,Carnaval,2023-02-18,2023-02-21,18334715
4,Carnaval,2023-02-18,2023-02-21,18334721
4,Carnaval,2023-02-18,2023-02-21,18334727
5,Réveillon,2023-12-30,2024-01-01,19657993
5,Réveillon,2023-12-30,2024-01-01,19658001
5,Réveillon,2023-12-30,2024-01-01,19658004
5,Réveillon,2023-12-30,2024-01-01,19658010
5,Réveillon,2023-12-30,2024-01-01,19658011
5,Réveillon,2023-12-30,2024-01-01,19658020
5,Réveillon,2023-12-30,2024-01-01,19658021
5,Réveillon,2023-12-30,2024-01-01,19658033
5,Réveillon,2023-12-30,2024-01-01,19658051
5,Réveillon,2023-12-30,2024-01-01,19658055
5,Réveillon,2023-12-30,2024-01-01,19658133
5,Réveillon,2023-12-30,2024-01-01,19658352
5,Réveillon,2023-12-30,2024-01-01,19658466
5,Réveillon,2023-12-30,2024-01-01,19658474
5,Réveillon,2023-12-30,2024-01-01,19658611
5,Réveillon,2023-12-30,2024-01-01,19658657
5,Réveillon,2023-12-30,2024-01-01,19658670
5,Réveillon,2023-12-30,2024-01-01,19658696
5,Réveillon,2023-12-30,2024-01-01,19658756
5,Réveillon,2023-12-30,2024-01-01,19658854
5,Réveillon,2023-12-30,2024-01-01,19658966
5,Réveillon,2023-12-30,2024-01-01,19659055
5,Réveillon,2023-12-30,2024-01-01,19659075
5,Réveillon,2023-12-30,2024-01-01,19659186
5,Réveillon,2023-12-30,2024-01-01,19659227
5,Réveillon,2023-12-30,2024-01-01,19659230
5,Réveillon,2023-12-30,2024-01-01,19659258
5,Réveillon,2023-12-30,2024-01-01,19659352
5,Réveillon,2023-12-30,2024-01-01,19659412
5,Réveillon,2023-12-30,2024-01-01,19659432
5,Réveillon,2023-12-30,2024-01-01,19659435
5,Réveillon,2023-12-30,2024-01-01,19659440
5,Réveillon,2023-12-30,2024-01-01,19659457
5,Réveillon,2023-12-30,2024-01-01,19659483
5,Réveillon,2023-12-30,2024-01-01,19659493
5,Réveillon,2023-12-30,2024-01-01,19659554
5,Réveillon,2023-12-30,2024-01-01,19659581
5,Réveillon,2023-12-30,2024-01-01,19659589
5,Réveillon,2023-12-30,2024-01-01,19659645
5,Réveillon,2023-12-30,2024-01-01,19659656
5,Réveillon,2023-12-30,2024-01-01,19659667
5,Réveillon,2023-12-30,2024-01-01,19659691
5,Réveillon,2023-12-30,2024-01-01,19659694
5,Réveillon,2023-12-30,2024-01-01,19659695
5,Réveillon,2023-12-30,2024-01-01,19659701
5,Réveillon,2023-12-30,2024-01-01,19659705
5,Réveillon,2023-12-30,2024-01-01,19659711
5,Réveillon,2023-12-30,2024-01-01,19659724
5,Réveillon,2023-12-30,2024-01-01,19659908
5,Réveillon,2023-12-30,2024-01-01,19660016
5,Réveillon,2023-12-30,2024-01-01,19660040
5,Réveillon,2023-12-30,2024-01-01,19660043
5,Réveillon,2023-12-30,2024-01-01,19660047
5,Réveillon,2023-12-30,2024-01-01,19660083
5,Réveillon,2023-12-30,2024-01-01,19660240
5,Réveillon,2023-12-30,2024-01-01,19660316
5,Réveillon,2023-12-30,2024-01-01,19660349
5,Réveillon,2023-12-30,2024-01-01,19660364
5,Réveillon,2023-12-30,2024-01-01,19660410
5,Réveillon,2023-12-30,2024-01-01,19660417
5,Réveillon,2023-12-30,2024-01-01,19660516
5,Réveillon,2023-12-30,2024-01-01,19660536
5,Réveillon,2023-12-30,2024-01-01,19660541
5,Réveillon,2023-12-30,2024-01-01,19660547
5,Réveillon,2023-12-30,2024-01-01,19660550
5,Réveillon,2023-12-30,2024-01-01,19660575
5,Réveillon,2023-12-30,2024-01-01,19660586
5,Réveillon,2023-12-30,2024-01-01,19660592
5,Réveillon,2023-12-30,2024-01-01,19660594
5,Réveillon,2023-12-30,2024-01-01,19660598
5,Réveillon,2023-12-30,2024-01-01,19660606
5,Réveillon,2023-12-30,2024-01-01,19660608
5,Réveillon,2023-12-30,2024-01-01,19660616
5,Réveillon,2023-12-30,2024-01-01,19660631
5,Réveillon,2023-12-30,2024-01-01,19660649
5,Réveillon,2023-12-30,2024-01-01,19660655
5,Réveillon,2023-12-30,2024-01-01,19660658
5,Réveillon,2023-12-30,2024-01-01,19660660
5,Réveillon,2023-12-30,2024-01-01,19660661
5,Réveillon,2023-12-30,2024-01-01,19660664
5,Réveillon,2023-12-30,2024-01-01,19660665
5,Réveillon,2023-12-30,2024-01-01,19660675
5,Réveillon,2023-12-30,2024-01-01,19660686
5,Réveillon,2023-12-30,2024-01-01,19660710
5,Réveillon,2023-12-30,2024-01-01,19660866
5,Réveillon,2023-12-30,2024-01-01,19660878
5,Réveillon,2023-12-30,2024-01-01,19660970
5,Réveillon,2023-12-30,2024-01-01,19660999
5,Réveillon,2023-12-30,2024-01-01,19661065
5,Réveillon,2023-12-30,2024-01-01,19661092
5,Réveillon,2023-12-30,2024-01-01,19661100
5,Réveillon,2023-12-30,2024-01-01,19661205
5,Réveillon,2023-12-30,2024-01-01,19661209
5,Réveillon,2023-12-30,2024-01-01,19661221
5,Réveillon,2023-12-30,2024-01-01,19661257
5,Réveillon,2023-12-30,2024-01-01,19661259
5,Réveillon,2023-12-30,2024-01-01,19661267
5,Réveillon,2023-12-30,2024-01-01,19661275
